theta1,theta2
-14.005528529707293,15.12647402477224
-14.912590648327663,11.716933009919751
-15.704581192741296,8.187447163081659
-16.383167148458554,4.542444250412356
-16.952481635082496,0.7885127472049298
-17.419718354609476,-3.0648125645676245
-17.795654865026215,-7.004306863918934
-18.094933177645025,-11.01257312007461
-18.33589192492378,-15.06809294984047
-18.539793575427485,-19.146025759155172
-18.729452209569907,-23.219765626451593
-18.927493871052157,-27.262971107662587
-19.15464568843636,-31.251567216603195
-19.428439172840676,-35.16523109883698
-19.76253451302152,-38.98810455594078
-20.16664642717459,-42.70876885981815
-20.646900353112933,-46.319709684312066
-21.206409598676604,-49.816542965928335
-21.845904854117283,-53.197213932137295
-22.564313941984615,-56.46129228639935
-23.35924703640046,-59.60941178022943
-24.22737942911692,-62.64285591985259
-25.164742462441964,-65.56326942814978
-26.16693979612217,-68.37246844610844
-27.229306354167175,-71.07232371591726
-28.347024791760532,-73.66469531511284
-29.51521112920533,-76.1514023837554
-30.728978228967904,-78.53421562134491
-31.98348336006003,-80.81486380365388
-33.27396423737183,-82.99504820039873
-34.59576656729825,-85.07646070313587
-35.944365171152306,-87.0608028595535
-37.31538009593641,-88.94980399652488
-38.704588676514355,-90.74523731094524
-40.10793422093146,-92.44893329700189
-41.52153180445158,-94.0627902204494
-42.94167154349139,-95.58878158660079
-44.36481965344925,-97.02896070851571
-45.787617557104724,-98.38546258598079
-47.20687929076846,-99.66050336906825
-48.619587445513524,-100.85637771301508
-50.022887875223034,-101.97545434182445
-51.41408339844205,-103.02017013240423
-52.79062671512232,-103.99302301395879
-54.15011275126574,-104.89656395250695
-55.490270633822185,-105.73338826085262
-56.808955485008006,-106.50612644254048
-58.10414020975554,-107.21743474625575
-59.37390743267673,-107.8699855763219
-60.616441722166996,-108.46645787658693
-61.8300222195273,-109.00952757990764
-63.01301577065362,-109.50185819417737
-64.16387063730768,-109.94609157866185
-65.28111084458348,-110.34483895132637
-66.36333120123753,-110.70067215865863
-67.40919301036422,-111.01611523382617
-68.41742046977566,-111.29363626631192
-69.38679774469435,-111.53563960577992
-70.31616668030223,-111.74445842408747
-71.20442510861578,-111.92234766129603
-72.05052569336435,-112.07147738346576
-72.85347524828885,-112.19392658123448
-73.61233445873619,-112.291677438077
-74.32621793370556,-112.36661009526082
-74.99429451559797,-112.42049793659389
-75.61578777770738,-112.45500341003715
-76.18997664471691,-112.4716743952821
-76.71619607875643,-112.47194111681776
-77.1938377824662,-112.4571135913536
-77.62235088044527,-112.42837958736601
-78.00124255085684,-112.38680306371101
-78.33007858922515,-112.33332304442095
-78.60848389603844,-112.26875287865396
-78.83614288819373,-112.19377982887454
-79.01279984120606,-112.1089649271453
-79.13825917420621,-112.01474303917182
-79.21238569294867,-111.91142307854737
-79.23510480736141,-111.7991883193861
-79.20640273973058,-111.67809676393968
-79.12632673767787,-111.54808153243363
-78.99498530299218,-111.40895125469156
-78.8125484435208,-111.26039045650265
-78.57924795114545,-111.1019599474492
-78.29537770480592,-110.93309723034925
-77.96129399401643,-110.75311696491389
-77.57741585572215,-110.5612115290569
-77.14422541597908,-110.3564517299994
-76.66226822802888,-110.13778772348071
-76.13215359999913,-109.90405020274768
-75.55455490868951,-109.65395191943331
-74.93020990058585,-109.38608959599868
-74.25992098714238,-109.09894628429738
-73.54455554814413,-108.79089421737427
-72.785046264176,-108.46019819228748
