theta1,theta2
-75.61596747082716,-112.45458929157405
-76.19015661192999,-112.47125214842204
-76.71637622333307,-112.47151100178945
-77.19401800718747,-112.45667586482598
-77.62253108781344,-112.42793450212876
-78.00142264330115,-112.3863508684701
-78.33025846929199,-112.33286398371641
-78.60866346655699,-112.26828719290427
-78.83632205241149,-112.19330775454738
-79.0129785028907,-112.10848669705064
-79.13843723771363,-112.01425888286902
-79.21256306325958,-111.91093322285413
-79.23528139009112,-111.79869298897364
-79.206578441119,-111.6775961819954
-79.12650146456848,-111.5475759213701
-78.99515896280943,-111.40844083687915
-78.81272094425674,-111.25987545500223
-78.5794192013657,-111.10144058672108
-78.29554761368527,-110.93257373691554
-77.9614624714128,-110.75258956795307
-77.57758281229626,-110.56068046091123
-77.14439076336504,-110.35591722657946
-76.66243187905864,-110.13725002455452
-76.13231546898093,-109.90350955210548
-75.55471491173746,-109.65340856492415
-74.93036795599514,-109.38554378943834
-74.2600770158017,-109.09839828125205
-73.54470947397392,-108.79034427682797
-72.78519801457948,-108.45964657620486
-71.9825410127017,-108.10446648388454
-71.1378030162651,-107.72286632361079
-70.25211536018435,-107.31281453117006
-69.32667695698773,-106.87219131808817
-68.36275530992616,-106.39879488860832
-67.36168779407058,-105.89034818290642
-66.324883247783,-105.34450611128109
-65.25382391109986,-104.75886323703902
-64.15006773897629,-104.13096185982657
-63.01525110610677,-103.45830044595607
-61.851091906342674,-102.73834234747223
-60.659393033833965,-101.96852474688802
-59.442046215234846,-101.1462677592911
-58.20103614296926,-100.26898361754539
-56.93844483898731,-99.33408585938272
-55.656456156975864,-98.33899842727446
-54.357360308881574,-97.28116458331607
-53.0435582790499,-96.15805553248263
-51.71756596634455,-94.96717863941555
-50.38201787117832,-93.70608511772431
-49.03967012009649,-92.37237706849258
-47.69340259469386,-90.96371374875679
-46.34621990300962,-89.4778169644282
-45.00125089824849,-87.91247550965015
-43.661746408929275,-86.26554862129258
-42.331074792358145,-84.53496849006152
-41.012714854086795,-82.71874197733392
-39.71024558217841,-80.81495184054764
-38.42733201667662,-78.82175798405979
-37.16770639887239,-76.73739954477024
-35.93514350611042,-74.56019901449702
-34.73342875790879,-72.28857011994786
-33.56631725948262,-69.92103185413268
-32.43748141461986,-67.4562319054527
-31.350444089374818,-64.89298377429354
-30.308493569057642,-62.230323079068846
-29.314575810204875,-59.467589839488326
-28.371158938584834,-56.60454465556741
-27.480064946995785,-53.641527223266664
-26.642264713966494,-50.57966475346143
-25.857635707963148,-47.42113438159495
-25.124688211696895,-44.16947599689741
-24.440276651053228,-40.829938555781474
-23.799327789557037,-37.40982344387745
-23.19463505024484,-33.918765271617524
-22.616782310426515,-30.36887089681338
-22.05426178048012,-26.774633720057686
-21.493829309817464,-23.152565370096813
-20.92109380440882,-19.520545027340948
-20.321276450976477,-15.896963850329467
-19.680024315876977,-12.299806901455476
-18.984146327961394,-8.745835415842068
-18.222166109152607,-5.249997364645437
-17.38464158293189,-1.8251226256103714
-16.464259667687426,1.5181150977437712
-15.455754407291767,4.771036783387081
-14.35571171071635,7.926680385845388
-13.16231882754175,10.979481050619235
-11.875101734838768,13.924962116771862
-10.494677126850435,16.75946741569332
-9.02253225310571,19.479947652745345
-7.460836777815202,22.08380203498498
-5.812285666041043,24.56876994427537
-4.07996974984594,26.932864790210882
-2.2672700243893473,29.174341760651387
-0.37777206500552996,31.291691959587673
1.584802282405905,33.28365671308809
3.616647908971514,35.14925725616956
5.713915288324031,36.88783639326344
7.872735589121628,38.49910996012936
10.08923192824806,39.98322695657364
12.359516261247595,41.34083802385094
14.679671239971501,42.573172446061406
17.045716466446063,43.68212396450466
19.453559022769472,44.6703452692593
21.89892907520958,45.541349898984784
24.37730286362238,46.29961825854596
26.88381758650841,46.95070143970837
29.413185548726176,47.50131257617621
31.95961818164422,47.9593910153689
34.51677353225026,48.33412061708189
37.07774248305256,48.63588156178997
39.63508796836351,48.876117098668644
42.18094663762835,49.06710429818686
44.707193532655424,49.22163134317424
47.20565871937511,49.35260112952451
49.66837342523127,49.47259750783178
52.0878158020586,49.59346092151197
54.45712576281325,49.725920449627786
56.77026483311775,49.879318866084596
59.022108345939046,50.06144972853577
61.20846979820008,50.27850636958296
63.32606726254804,50.53512721145397
65.37244747848825,50.834512933028485
67.34588455786401,51.178588813261584
69.24526830680865,51.56818832104792
71.06999356344164,52.00323937696501
72.8198580122734,52.48294067322487
74.49497249507628,53.005920734844246
76.09568524695794,53.57037647780021
77.6225197697033,54.174190802804844
79.0761250676527,54.81503044955527
80.4572365177459,55.490426205606475
81.76664554095818,56.19783788427368
83.0051763423978,56.93470647184859
84.17366818996247,57.6984956496115
85.27296194126188,58.48672462146925
86.30388976720039,59.296993884427295
87.26726723825794,60.12700529984827
88.16388712776593,60.97457757422615
88.99451444376469,61.837658044106604
89.75988232937023,62.71433148005078
90.46068857464459,63.6028264755278
91.09759256495354,64.50151986355894
91.67121255582762,65.40893950189275
92.18212321616835,66.32376568186224
92.6308534235385,67.24483134279268
93.01788433003178,68.17112120940654
93.34364774716583,69.10176991119417
93.60852492529146,70.03605908779757
93.81284582867696,70.97341343120827
93.95688903282728,71.91339556264117
94.04088239642466,72.855699588523
94.06500468669834,73.80014312604753
94.02938836356385,74.74665753503997
93.93412375316552,75.69527604151527
93.77926486303788,76.64611939301254
93.56483710505475,77.59937865234063
93.29084719299749,78.55529472314915
92.95729546129972,79.51413421904415
92.56419080070035,80.47616135204173
92.11156831403348,81.44160564255809
91.59950964978485,82.41062545903237
91.02816576291447,83.38326769516662
90.39778157791099,84.35942429334472
89.70872169458285,85.33878681600153
88.96149590489193,86.3208008219251
88.15678292149929,87.30462236190776
87.29545041905725,88.28907937707284
86.37856933694002,89.27264104901717
85.4074204683966,90.25339809458292
84.38349172739883,91.22905652742291
83.30846515634983,92.19694649528182
82.18419366454867,93.15404651194217
